Building Name,Street Address,City,State,Postal,Country,MSA Name,Latitude,Longitude,Elevation,Serving Wire Center CLLI,Building CLLI,Network Build Status,Building Connection Status,Building Category,NPA,NXX,LATA,Demarc Code,Fiber Ownership,Access Medium,Install Interval,Supplier Name,Access Customer Name,Access Floor,Access Room,Ethernet Handoff Type,Minimum Circuit Level,Minimum Quantity to Accept an Order,Special Construction Cost,Customer Unique Key,CB Building Key,Transaction Indicator,Primary NNI Location,Secondary NNI Location,Primary Number,Street Predirection,Street Name,Street Postdirection,Street Suffix,Secondary Designator,Secondary Number,Extra Secondary Designator,Extra Secondary Number,Plus4 Code,Conformed State,Conformed City,Building Notes,Distance Band,LOS Distance 1 Path,LOS Distance 2 Path,ROW Distance 1 Path,ROW Distance 2 Path,LOS Distance 1 Access Point,LOS Distance 2 Access Point,ROW Distance 1 Access Point,ROW Distance 2 Access Point,Comcast Pricing Zone,Indatel Pricing Zone,CenturyLink Pricing Zone,Sprint Pricing Zone,Verizon Pricing Zone,AT&T Pricing Zone,Building Competitive Rating,AT&T Serving Node CLLI,AT&T Unique Key,Pricing Zone,Pricing Type,Wavelength Handoff Type,Wave Zone,Wave Install Interval,Custom Pricing Zone,Lateral Distance,OSP Construction Estimate,OSP Cost per Foot,OSP Cost Zone,Telco_Spend,Tenant_Count,FBL Market ID,MRTL,Territory ID,Pricing Tool,Minimum Contract Value,TCVR,Base Zone,Tenant Band,Telco Spend Band,Active Status,SFDC Access Level,Wave MCV,Mkt-Prof 1,Program Engineering Boundary,Program SWC,MOVAw,MOVAe,Investment Building Eligible,Bundle Tier,SFDC Building Type,Dish Route,Dish 2020,CPQ Ethernet Zone,DASH Eligibility,MKT Rate EVPL 5000,ENNI Eligibility,EPE Approval Code,SWC Status,QM Last Run Date,QM MNO Target,MNO-A ID,MNO-T ID,Dark MCV,MNO-V ID,FRDF Eligible,MDFNp Eligible,FNI,MNO Target,QM FCC ID,SFDC LLOC,FBL Node,FBL Market,FBL Level 6 Demarcs,Texas Express Node,CoStar ID,SFDC Status,SFDC On Off Net,SFDC Building Category 1,SFDC Building Category 2,SFDC Market,SFDC Active Date,SFDC Building Name,SFDC Location Long ID,SFDC Location ID,SFDC Entrance Type,DISH Site ID,TMO Site ID,Sprint Site Id,Verizon Site ID,ATT Site ID,SFDC Building Type.1,NPA- NXX,Ethernet Zone,Horizontal Coordinate,Vertical Coordinate,Protection Type,Handoff Pricing,Diversity Type,Tenant Count,Building Sq Footage,Building Floors,Property Type,Address Status,id,Barriers,Modified Date,Modified By,Status,UniqueID,geometry,Distances_from_splice,Distances_from_path
25067 Kingscote Ct,25067 Kingscote Ct,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.923936,-77.539435,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,25067,,Kingscote,,Ct,,,,,,,,No,1501+ feet,1801.0,,2908.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,delta_new,11,POINT (-77.539435 38.923936),0.0,0.0
42047 Pepperbush Pl,42047 Pepperbush Pl,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.92799,-77.548542,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42047,,Pepperbush,,Pl,,,,,,,,No,1501+ feet,1807.0,,1886.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,delta_new,12,POINT (-77.548542 38.92799),1.4210854715202004e-14,1.5869911455458004e-14
23207 Wrathall Dr,23207 Wrathall Dr,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.974975,-77.510565,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23207,,Wrathall,,Dr,,,,,,,,No,1501+ feet,1825.0,,2572.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,delta_new,13,POINT (-77.510565 38.974975),0.0,1.4210854715202004e-14
43751 Beaver Meadow Rd,43751 Beaver Meadow Rd,Sterling,VA,20166,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.967004,-77.48847,,DLLSVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,260.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,43751,,Beaver Meadow,,Rd,,,,,,,,No,1501+ feet,1765.0,,1976.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,delta_new,14,POINT (-77.48847 38.967004),7.105427357601002e-15,0.0
24669 Kings Canyon Sq,24669 Kings Canyon Sq,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.935341,-77.547212,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24669,,Kings Canyon,,Sq,,,,,,,,No,1501+ feet,1817.0,,2316.0,,,,3-way junction - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,delta_new,15,POINT (-77.547212 38.935341),0.0,7.105427357601002e-15
42087 Fiddlehead Pl,42087 Fiddlehead Pl,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.932301,-77.546425,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42087,,Fiddlehead,,Pl,,,,,,,,No,1501+ feet,1817.0,,2823.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,delta_new,16,POINT (-77.546425 38.932301),1.4210854715202004e-14,1.4210854715202004e-14
25295 Loganshire Ter,25295 Loganshire Ter,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.915997,-77.513729,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,25295,,Loganshire,,Ter,,,,,,,,waterways - stream,1501+ feet,1809.0,,2335.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,delta_new,17,POINT (-77.513729 38.915997),1.4210854715202004e-14,0.0
22671 Lamoreaux Landing Sq,22671 Lamoreaux Landing Sq,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.989931,-77.483825,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22671,,Lamoreaux Landing,,Sq,,,,,,,,No,1501+ feet,1764.0,,2448.0,,,,3-way junction - BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,delta_new,18,POINT (-77.483825 38.989931),0.0,1.5888218580782548e-14
42768 Hollingsworth Ter,42768 Hollingsworth Ter,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.916001,-77.523763,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42768,,Hollingsworth,,Ter,,,,,,,,No,1501+ feet,1761.0,,1939.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,delta_new,19,POINT (-77.523763 38.916001),1.4210854715202004e-14,1.420722157646278e-14
42427 Redstone Ter,42427 Redstone Ter,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.981567,-77.534894,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42427,,Redstone,,Ter,,,,,,,,No,1501+ feet,1695.0,,2174.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,delta_new,20,POINT (-77.534894 38.981567),0.0,7.105427357601002e-15
